               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.010494,           0.0039815,                   0,             0.99992,                   1,               0.995,             0.92566,           0.0065548,           0.0018319,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.010687,           0.0040167,                   0,             0.99992,                   1,               0.995,             0.92587,           0.0064143,           0.0018195,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.010734,           0.0040597,                   0,             0.99992,                   1,               0.995,             0.93797,            0.006043,           0.0018003,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.01077,           0.0040445,                   0,             0.99991,                   1,               0.995,             0.93726,           0.0060305,           0.0017569,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.010826,           0.0040133,                   0,             0.99992,                   1,               0.995,              0.9296,           0.0061052,           0.0017773,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.01053,           0.0039588,                   0,             0.99992,                   1,               0.995,             0.92804,           0.0062457,           0.0017762,                   0,            0.006601,            0.006601,            0.006601
                 105,             0.01066,           0.0039996,                   0,             0.99992,                   1,               0.995,             0.93101,           0.0060719,           0.0018033,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.01038,           0.0039629,                   0,             0.99991,                   1,               0.995,             0.93673,           0.0060001,           0.0017883,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.010457,           0.0039408,                   0,             0.99991,                   1,               0.995,             0.93172,           0.0059249,           0.0017808,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.010509,            0.003945,                   0,             0.99992,                   1,               0.995,             0.93088,           0.0061152,           0.0017578,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.010543,           0.0039633,                   0,             0.99992,                   1,               0.995,              0.9315,            0.006025,           0.0017857,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.010289,           0.0039795,                   0,             0.99991,                   1,               0.995,             0.93384,            0.005984,           0.0018199,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.010405,           0.0039416,                   0,             0.99992,                   1,               0.995,             0.93609,           0.0059141,           0.0017662,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.010453,           0.0039211,                   0,              0.9999,                   1,               0.995,             0.93452,            0.005875,            0.001751,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.010402,           0.0039397,                   0,             0.99984,                   1,               0.995,             0.93171,           0.0060424,           0.0017376,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.010418,            0.003932,                   0,             0.99991,                   1,               0.995,             0.93301,           0.0059825,           0.0017637,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.010325,            0.003911,                   0,             0.99992,                   1,               0.995,             0.92684,           0.0063498,           0.0017832,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.010342,           0.0039152,                   0,             0.99992,                   1,               0.995,             0.92671,           0.0062754,           0.0018144,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.01037,           0.0039122,                   0,             0.99991,                   1,               0.995,             0.93945,            0.005879,            0.001754,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.01033,            0.003983,                   0,             0.99991,                   1,               0.995,             0.93175,           0.0059931,           0.0017811,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.010315,            0.003893,                   0,             0.99992,                   1,               0.995,             0.93417,           0.0059181,           0.0017732,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.010142,           0.0039508,                   0,             0.99991,                   1,               0.995,             0.92994,           0.0062548,           0.0017617,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.01024,           0.0038592,                   0,              0.9999,                   1,               0.995,             0.93528,           0.0058871,           0.0018066,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.010147,            0.003901,                   0,             0.99989,                   1,               0.995,             0.93411,           0.0060123,            0.001804,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.010052,            0.003879,                   0,             0.99992,                   1,               0.995,             0.93869,           0.0059201,           0.0017647,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.009975,           0.0039087,                   0,             0.99992,                   1,               0.995,             0.93566,           0.0058834,            0.001784,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.010299,           0.0039703,                   0,             0.99992,                   1,               0.995,             0.93675,           0.0058354,           0.0017647,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.010092,           0.0039022,                   0,             0.99991,                   1,               0.995,              0.9367,           0.0058027,           0.0017466,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.010097,           0.0038564,                   0,             0.99992,                   1,               0.995,             0.94097,           0.0057992,           0.0017593,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.010122,           0.0038575,                   0,             0.99991,                   1,               0.995,             0.92907,           0.0061575,           0.0017991,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.010054,           0.0038412,                   0,             0.99992,                   1,               0.995,             0.93678,           0.0058127,           0.0017869,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.010011,           0.0038394,                   0,             0.99992,                   1,               0.995,             0.93737,           0.0058315,            0.001752,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.010091,           0.0038723,                   0,             0.99992,                   1,               0.995,             0.93393,           0.0059857,           0.0017524,                   0,             0.00571,             0.00571,             0.00571
                 132,           0.0098743,           0.0038448,                   0,             0.99991,                   1,               0.995,             0.93713,            0.005908,           0.0017613,                   0,            0.005677,            0.005677,            0.005677
                 133,           0.0099651,           0.0038748,                   0,             0.99992,                   1,               0.995,             0.93793,           0.0060249,           0.0017638,                   0,            0.005644,            0.005644,            0.005644
                 134,             0.01003,           0.0037789,                   0,             0.99992,                   1,               0.995,             0.93866,           0.0058638,           0.0017576,                   0,            0.005611,            0.005611,            0.005611
